account,opp,stage,forecasted,fc,amount,close,pinned,verdict,win_old,win_new,mom_old,mom_new,fc_conf,risk,commit,ceiling,qual_cap,override,win_reasons,mom_reasons,note
Nexteer Automotive Group Limited,Nexteer_S2P_2025,Qualified,False,Pipeline,784550.0,2026-11-20,False,Slowing,5.0,5.0,32.3,32.3,0.0,13.6,44.2,30.0,74 by access to power (economic buyer)=partial,False,"momentum_adj -17.7: momentum 32 vs stage-expected 50 | scope_reduced -7.0: scope narrowed vs prior — Zycus self-excluded from Direct materials sourcing (APQP/PPAP gap) on 14 Nov 2025; t | trend_nudge -7.0: recent CRM moves: stage regressed, forecast downgraded | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'automation' in Next-Step/narrative | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'cpo' in Next-Step/narrative | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'business case' in Next-Step/narrative","stalling -10.0: last genuine buyer touch 55d ago vs the ~30d cadence this stage needs — going quiet | regression -10.0: stage trend: moved DOWN recently — forecast/stage cut, deal regressing | engagement +2.3: engagement points 2.8 (type × buyer/rep × recency over 60d) — discounted ×0.82 (deal trending DOWN on 1 axis)",
Galp Energia,Galp_S2P,Qualified,False,Pipeline,740000.0,2027-03-16,False,Slowing,19.5,19.5,57.0,57.0,11.9,13.6,42.0,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj +3.5: momentum 57 vs stage-expected 50 | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'business case' in Next-Step/narrative | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | differentiation +1.8: differentiation strength +0.30 (weight 20),"next_step_plan +11.0: 5 upcoming milestone(s), nearest 2026-07-16 — live advancing plan | confidence -5.0: rep confidence 10% (low) | engagement +1.0: engagement points 1.0 (type × buyer/rep × recency over 60d)",
Wacker chemie,"Wacker_CLM,Sourcing,Intake,Supplier",Formal Evaluation,False,Pipeline,734920.0,2026-09-30,False,Slowing,26.7,21.7,47.1,42.1,14.9,13.6,54.7,52.0,52 by access to power (economic buyer)=gap,False,"momentum_adj -9.9: momentum 42 vs stage-expected 52 | scope_reduced -7.0: scope narrowed vs prior — 24 Apr 2026 Next Step states 'scope reduced to SRM'; the 9 Mar 2026 call confirmed t | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'automation' in Next-Step/narrative | trend_nudge -5.7: recent CRM moves: forecast downgraded, close pushed 61d | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'c level' in Next-Step/narrative | preference -2.4: preference strength -0.40 (weight 20)","regression -10.0: forecast category trend: moved DOWN recently — forecast/stage cut, deal regressing | engagement +7.2: engagement points 8.8 (type × buyer/rep × recency over 60d) — discounted ×0.82 (deal trending DOWN on 1 axis) | close_date_direction -5.1: Close date 2026-07-31 -> 2026-09-30 (pushed out 61d) — 61d cumulative push is beyond tolerance",
NORTHPORT (MALAYSIA) BHD,MMC- 7 Ports,Formal Evaluation,True,Pipeline,650000.0,2026-08-30,False,Slowing,29.2,29.2,50.0,50.0,21.3,9.1,33.5,70.0,74 by access to power (economic buyer)=partial,False,"trend_nudge -7.7: recent CRM moves: stage regressed, forecast downgraded, amount up, close pushed 61d | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'manual process' in Next-Step/narrative | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'cfo' in Next-Step/narrative | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | momentum_adj -2.0: momentum 50 vs stage-expected 52","process_floor +14.0: on-track structured process — waiting on the buyer's published timeline reads steady, not slowing | regression -10.0: stage trend: moved DOWN recently — forecast/stage cut, deal regressing | close_date_direction -5.1: Close date 2026-06-30 -> 2026-08-30 (pushed out 61d) — 61d cumulative push is beyond tolerance | engagement +1.1: engagement points 1.4 on the RFP process clock (month-old deliverable work keeps weight) — discounted ×0.82 (d",
Perdue Farms,Perdue S2P RFI,Formal Evaluation,False,Pipeline,613360.0,2027-01-21,False,At Risk,5.0,5.0,25.0,25.0,0.0,28.1,54.7,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj -27.0: momentum 25 vs stage-expected 52 | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | differentiation +1.8: differentiation strength +0.30 (weight 20) | competitive +0.9: competitive strength +0.20 (weight 15),stalling -4.0: no activity instrumentation on this record yet (cadence reads fully after its next sweep) — Salesforce shows a | false_velocity +0.0: activity without progression — busy next-step log but the deal is slipping (close pushed / confidence down / b,
Atlas Air Inc,Atlas Air Worldwide S2P,Formal Evaluation,False,Pipeline,550000.0,2027-03-12,False,Slowing,35.5,35.5,47.0,47.0,26.4,11.7,35.8,52.0,52 by access to power (economic buyer)=gap,False,differentiation +5.1: differentiation strength +0.85 (weight 20) — from Next-Step/narrative: 'automation' in Next-Step/narrative | momentum_adj -5.0: momentum 47 vs stage-expected 52 | competitive -4.5: competitive strength -1.00 (weight 15) | trend_nudge +4.0: recent CRM moves: stage advanced | preference -2.4: preference strength -0.40 (weight 20) | stage_trend +2.4: stage trend +0.67,stalling -12.6: last genuine buyer touch 43d ago vs the ~21d cadence this stage needs — going quiet | progression +6.0: stage trend: moved UP recently — deal advancing | engagement +3.6: engagement points 3.6 (type × buyer/rep × recency over 60d),
Changi Airport Group (Singapore) Pte. Ltd,Changi Airport_S2P,Qualified,False,Pipeline,550000.0,2026-09-25,False,Slowing,5.0,5.0,24.5,24.5,0.0,11.7,49.6,30.0,60 by champion=gap,False,momentum_adj -25.5: momentum 24 vs stage-expected 50 | differentiation +5.1: differentiation strength +0.85 (weight 20) — from Next-Step/narrative: 'inefficien' in Next-Step/narrative | competitive -4.5: competitive strength -1.00 (weight 15) | exec_access +3.8: exec access strength +0.85 (weight 15) — from Next-Step/narrative: 'cpo' in Next-Step/narrative | champion -2.2: champion strength -0.50 (weight 15) | trend_nudge -2.0: recent CRM moves: amount cut,"stalling -25.0: last genuine buyer touch 117d ago vs the ~30d cadence this stage needs — going quiet | scope_cut -6.0: deal size cut recently (Amount 750000 -> 550000 (31d ago)) — contracting, not advancing | next_step_plan +5.5: 3 upcoming milestone(s), nearest 2026-07-14 — live advancing plan | false_velocity +0.0: activity without progression — busy next-step log but the deal is slipping (close pushed / confidence down / b",
Nidec Corporation,Nidec China Phase 1,Formal Evaluation,False,Pipeline,550000.0,2026-12-26,False,At Risk,48.8,48.8,85.0,85.0,37.8,28.1,44.2,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj +16.5: momentum 85 vs stage-expected 52 | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | differentiation +1.8: differentiation strength +0.30 (weight 20) | competitive +0.9: competitive strength +0.20 (weight 15),engagement +35.0: engagement points 35.0 (type × buyer/rep × recency over 60d),
Department of Justice,WA DOJ,Formal Evaluation,False,Pipeline,550000.0,2026-10-28,False,Slowing,23.8,20.4,54.9,50.0,12.0,6.4,23.9,52.0,52 by access to power (economic buyer)=gap,False,scope_reduced -7.0: scope narrowed vs prior — Deal amount cut from $1.5M (11 Aug 2025) to $550K (13 Apr 2026) as DOJ narrowed Stag | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'inefficien' in Next-Step/narrative | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'savings' in Next-Step/narrative | trend_nudge -2.7: recent CRM moves: close pushed 61d | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15),"next_step_plan +11.0: 4 upcoming milestone(s), nearest 2026-08-19 — live advancing plan | scope_cut -6.0: deal size cut recently (Amount 1.1e+06 -> 550000 (85d ago)) — contracting, not advancing | close_date_direction -5.1: Close date 2026-08-28 -> 2026-10-28 (pushed out 61d) — 61d cumulative push is beyond tolerance | process_floor +0.1: on-track structured process — waiting on the buyer's published timeline reads steady, not slowing",
ALTRAD,ALTRAD_S2P,Formal Evaluation,False,Pipeline,550000.0,2026-11-30,False,Slowing,5.0,5.0,17.8,13.6,0.0,13.6,54.7,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj -38.4: momentum 14 vs stage-expected 52 | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'pain point' in Next-Step/narrative | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'decision maker' in Next-Step/narrative | trend_nudge -4.0: recent CRM moves: close pushed 153d | preference -2.4: preference strength -0.40 (weight 20) | champion +1.4: champion strength +0.30 (weight 15),stalling -25.0: last genuine buyer touch 140d ago vs the ~21d cadence this stage needs — going quiet | close_date_direction -12.0: Close date 2026-06-30 -> 2026-11-30 (pushed out 153d) — 153d cumulative push is beyond tolerance | engagement +0.6: engagement points 0.6 (type × buyer/rep × recency over 60d),
World Bank Group,World Bank Group_iSourcing/iSupplier/Merlin Intake,Qualified,False,Pipeline,550000.0,2026-11-04,False,Slowing,5.0,5.0,31.6,31.6,0.0,9.1,31.8,30.0,74 by access to power (economic buyer)=partial,False,momentum_adj -18.4: momentum 32 vs stage-expected 50 | differentiation +5.1: differentiation strength +0.85 (weight 20) — from Next-Step/narrative: 'consolidat' in Next-Step/narrative | competitive -4.5: competitive strength -1.00 (weight 15) | exec_access +3.8: exec access strength +0.85 (weight 15) — from Next-Step/narrative: 'cpo' in Next-Step/narrative | preference -3.0: preference strength -0.50 (weight 20) | business_case +2.5: business case strength +0.85 (weight 10) — from Next-Step/narrative: 'savings' in Next-Step/narrative,stalling -18.4: last genuine buyer touch 76d ago vs the ~30d cadence this stage needs — going quiet,
Sabic Innovative Plastics US LLC,SABIC_P2P_May'25,Formal Evaluation,False,Best Case,518000.0,2026-11-01,False,Close Date Risk,52.0,52.0,91.0,91.0,45.7,24.4,54.7,52.0,52 by access to power (economic buyer)=gap,False,"momentum_adj +19.5: momentum 91 vs stage-expected 52 | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'compelling event' in Next-Step/narrati | trend_nudge +5.0: recent CRM moves: forecast upgraded, amount up | forecast_conviction +4.0: Best Case forecast is evidence-consistent — manager conviction credited | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'roi' in Next-Step/narrative | preference +2.4: preference strength +0.40 (weight 20)",engagement +35.0: engagement points 35.0 (type × buyer/rep × recency over 60d) | progression +6.0: forecast category trend: moved UP recently — deal advancing,
Starbucks Coffee Company,Starbucks_S2P,Formal Evaluation,False,Pipeline,500000.0,2027-02-15,False,Slowing,13.7,8.7,50.9,45.9,2.3,13.6,54.7,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj -6.1: momentum 46 vs stage-expected 52 | preference -3.0: preference strength -0.50 (weight 20) | trend_nudge -2.7: recent CRM moves: close pushed 61d | differentiation -2.4: differentiation strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15),close_date_direction -5.1: Close date 2026-12-16 -> 2027-02-15 (pushed out 61d) — 61d cumulative push is beyond tolerance | engagement +1.0: engagement points 1.0 (type × buyer/rep × recency over 60d),
SMRT Corporation Ltd,SMRT_S2P,Formal Evaluation,False,Pipeline,500000.0,2026-11-14,False,Slowing,35.8,35.8,36.5,36.5,28.3,13.6,54.7,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj -15.5: momentum 36 vs stage-expected 52 | differentiation +5.1: differentiation strength +0.85 (weight 20) — from Next-Step/narrative: 'pain point' in Next-Step/narrative | trend_nudge +4.0: recent CRM moves: stage advanced | exec_access +3.8: exec access strength +0.85 (weight 15) — from Next-Step/narrative: 'cpo' in Next-Step/narrative | business_case +2.5: business case strength +0.85 (weight 10) — from Next-Step/narrative: 'business case' in Next-Step/narrative | preference -2.4: preference strength -0.40 (weight 20),"stalling -25.0: last genuine buyer touch 114d ago vs the ~21d cadence this stage needs — going quiet | progression +6.0: stage trend: moved UP recently — deal advancing | next_step_plan +5.5: 15 upcoming milestone(s), nearest 2026-07-24 — live advancing plan",
Keurig Dr Pepper,Dr. Pepper - S2P,Formal Evaluation,False,Pipeline,500000.0,2027-02-28,False,Slowing,46.9,42.5,68.7,60.0,35.7,13.6,44.2,52.0,52 by access to power (economic buyer)=gap,False,"exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'cpo' in Next-Step/narrative | competitive -4.5: competitive strength -1.00 (weight 15) | momentum_adj +4.0: momentum 60 vs stage-expected 52 | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'cost saving' in Next-Step/narrative | preference +2.4: preference strength +0.40 (weight 20) | trend_nudge -2.0: recent CRM moves: stage advanced, amount cut, close pushed 90d","engagement +13.2: engagement points 16.1 (type × buyer/rep × recency over 60d) — discounted ×0.82 (deal trending DOWN on 1 axis) | close_date_direction -8.0: Close date 2026-11-30 -> 2027-02-28 (pushed out 90d) — 90d cumulative push is beyond tolerance | next_step_plan +8.0: 1 upcoming milestone(s), nearest 2026-09-02 — live advancing plan | progression +6.0: stage trend: moved UP recently — deal advancing | scope_cut -6.0: deal size cut recently (Amount 1e+06 -> 500000 (30d ago)) — contracting, not advancing | verdict_reconcile -3.2: the deal's own verdict is 'Slowing' — momentum cannot read hotter than the holistic judgment; capped at 60",
Goldman Sachs,Goldman_Sachs_S2P_2026,Qualified,False,Pipeline,500000.0,2027-01-29,False,Slowing,30.0,30.0,67.9,60.0,22.3,13.6,39.7,30.0,74 by access to power (economic buyer)=partial,False,"differentiation +6.0: differentiation strength +1.00 (weight 20) | momentum_adj +5.0: momentum 60 vs stage-expected 50 | trend_nudge +2.7: recent CRM moves: stage advanced, close pushed 29d | preference -2.4: preference strength -0.40 (weight 20) | stage_trend +2.1: stage trend +0.61 | close_date_trend -1.8: close date trend -0.71",engagement +11.9: engagement points 11.9 (type × buyer/rep × recency over 60d) | verdict_reconcile -7.9: the deal's own verdict is 'Slowing' — momentum cannot read hotter than the holistic judgment; capped at 60 | progression +6.0: stage trend: moved UP recently — deal advancing,
"Sunrun, Inc.",Sunrun S2P,Qualified,False,Pipeline,500000.0,2026-11-27,False,Slowing,6.9,5.0,57.2,52.0,0.0,13.6,54.7,30.0,52 by access to power (economic buyer)=gap,False,differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'pain point' in Next-Step/narrative | competitive -4.5: competitive strength -1.00 (weight 15) | trend_nudge -3.1: recent CRM moves: close pushed 70d | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'roi' in Next-Step/narrative | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15),engagement +8.0: buyer touched the deal 12d ago (meeting) — freshness floor | close_date_direction -6.0: Close date 2026-09-18 -> 2026-11-27 (pushed out 70d) — 70d cumulative push is beyond tolerance,
NHS BSA,NHS BSA,Qualified,False,Pipeline,500000.0,2026-11-30,False,Off Track,5.0,5.0,26.0,26.0,0.0,15.2,23.9,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj -24.0: momentum 26 vs stage-expected 50 | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'business case' in Next-Step/narrative | differentiation -2.4: differentiation strength -0.40 (weight 20) | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15),stalling -24.0: last genuine buyer touch 90d ago vs the ~30d cadence this stage needs — going quiet,
Cooke,Cooke [iSource & P2P],Formal Evaluation,False,Pipeline,500000.0,2026-09-18,False,Off Track,11.6,11.6,25.0,25.0,0.0,7.9,26.5,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj -27.0: momentum 25 vs stage-expected 52 | differentiation +3.6: differentiation strength +0.60 (weight 20) — from Next-Step/narrative: 'inefficien' in Next-Step/narrative | exec_access +2.7: exec access strength +0.60 (weight 15) — from Next-Step/narrative: 'cfo' in Next-Step/narrative | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | business_case +1.8: business case strength +0.60 (weight 10) — from Next-Step/narrative: 'roi' in Next-Step/narrative,stalling -25.0: last genuine buyer touch 105d ago vs the ~21d cadence this stage needs — going quiet,
SOUTH AFRICAN REVENUE SERVICES ( SARS ),SARS_eProcurement,Shortlisted,False,Best Case,500000.0,2027-02-28,False,Slowing,52.0,52.0,65.0,60.0,34.9,31.6,37.4,52.0,52 by access to power (economic buyer)=gap,False,"trend_nudge +8.0: recent CRM moves: stage advanced, forecast upgraded, amount up | competitive -4.5: competitive strength -1.00 (weight 15) | forecast_conviction +4.0: Best Case forecast is evidence-consistent — manager conviction credited | exec_access +2.7: exec access strength +0.60 (weight 15) — from MEDDPICC: Likely: CPO (ex-colleague relationship) → owns procure | differentiation -2.4: differentiation strength -0.40 (weight 20) | preference -2.4: preference strength -0.40 (weight 20)",engagement +9.0: engagement points 9.0 (type × buyer/rep × recency over 60d) | progression +6.0: stage trend: moved UP recently — deal advancing | verdict_reconcile -5.0: the deal's own verdict is 'Slowing' — momentum cannot read hotter than the holistic judgment; capped at 60,
Virgin Australia Airlines Pty Ltd,Virgin Australia S2C,Formal Evaluation,False,Pipeline,500000.0,2026-11-26,False,At Risk,33.5,33.5,60.0,60.0,20.3,30.7,54.7,52.0,52 by access to power (economic buyer)=gap,False,exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'cpo' in Next-Step/narrative | momentum_adj +4.0: momentum 60 vs stage-expected 52 | trend_nudge -2.5: recent CRM moves: close pushed 57d | preference +2.4: preference strength +0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | close_date_trend -2.2: close date trend -0.87,"next_step_plan +8.0: 1 upcoming milestone(s), nearest 2026-07-13 — live advancing plan | engagement +2.0: engagement points 2.0 on the RFP process clock (month-old deliverable work keeps weight)",
